ID,Name,Latex
20553,chi(b1)(1P),\chi_{b1}(1P)
20555,Upsilon(2)(1D),\Upsilon_{2}(1D)
21112,Delta(1910),\Delta(1910)^{-}
-21112,Delta(1910)~,\overline{\Delta}(1910)^{+}
21114,Delta(1920),\Delta(1920)^{-}
-21114,Delta(1920)~,\overline{\Delta}(1920)^{+}
21212,Delta(1910),\Delta(1910)^{0}
-21212,Delta(1910)~,\overline{\Delta}(1910)^{0}
21214,N(1700),N(1700)^{0}
-21214,N(1700)~,\overline{N}(1700)^{0}
22112,N(1535),\Delta(1910)^{0}
-22112,N(1535)~,\overline{\Delta}(1910)^{0}
22114,Delta(1920),\Delta(1920)^{0}
-22114,Delta(1920)~,\overline{\Delta}(1920)^{0}
22122,Delta(1910),\Delta(1910)^{+}
-22122,Delta(1910)~,\overline{\Delta}(1910)^{-}
22124,N(1700),N(1700)^{+}
-22124,N(1700)~,\overline{N}(1700)^{-}
22212,N(1535),N(1535)^{+}
-22212,N(1535)~,\overline{N}(1535)^{-}
22214,Delta(1920),\Delta(1920)^{+}
-22214,Delta(1920)~,\overline{\Delta}(1920)^{-}
22222,Delta(1910),\Delta(1910)^{++}
-22222,Delta(1910)~,\overline{\Delta}(1910)^{--}
22224,Delta(1920),\Delta(1920)^{++}
-22224,Delta(1920)~,\overline{\Delta}(1920)^{--}
23112,Sigma(1750),\Sigma(1750)^{-}
-23112,Sigma(1750)~,\overline{\Sigma}(1750)^{+}
23114,Sigma(1910),\Sigma(1940)^{-}
-23114,Sigma(1910)~,\overline{\Sigma}(1940)^{+}
23122,Lambda(1600),\Lambda(1600)
-23122,Lambda(1600)~,\overline{\Lambda}(1600)
23124,Lambda(1890),\Lambda(1890)
-23124,Lambda(1890)~,\overline{\Lambda}(1890)
23126,Lambda(2110),\Lambda(2110)
-23126,Lambda(2110)~,\overline{\Lambda}(2110)
23212,Sigma(1750),\Sigma(1750)^{0}
-23212,Sigma(1750)~,\overline{\Sigma}(1750)^{0}
23214,Sigma(1910),\Sigma(1940)^{0}
-23214,Sigma(1910)~,\overline{\Sigma}(1940)^{0}
23222,Sigma(1750),\Sigma(1750)^{+}
-23222,Sigma(1750)~,\overline{\Sigma}(1750)^{-}
23224,Sigma(1910),\Sigma(1940)^{+}
